"work_item_id"	"review_order"	"caller_file_id"	"caller_path"	"caller_package"	"caller_line"	"caller_final_disposition"	"symbol"	"declaration_path"	"declaration_package"	"correlation"	"source_form_state"	"abi_owner_state"	"failure_contract_state"	"evidence"
"MVDM-T277-S2-MVDM-BOUNDARY-00079"	"30"	"MVDM-FILE-0117"	"dpmi32/buffer.c"	"dpmi32"	"326"	"adapter-backed"	"host_simulate"	"softpc.new/host/inc/host.h"	"softpc.new"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00079"
"MVDM-T277-S2-MVDM-BOUNDARY-00080"	"30"	"MVDM-FILE-0119"	"dpmi32/debug.c"	"dpmi32"	"62"	"adapter-backed"	"getEFLAGS"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00080"
"MVDM-T277-S2-MVDM-BOUNDARY-00094"	"30"	"MVDM-FILE-0123"	"dpmi32/dpmiint.c"	"dpmi32"	"1049"	"adapter-backed"	"setEFLAGS"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00094"
"MVDM-T277-S2-MVDM-BOUNDARY-00095"	"30"	"MVDM-FILE-0123"	"dpmi32/dpmiint.c"	"dpmi32"	"1355"	"adapter-backed"	"getCR0"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00095"
"MVDM-T277-S2-MVDM-BOUNDARY-00096"	"30"	"MVDM-FILE-0123"	"dpmi32/dpmiint.c"	"dpmi32"	"1376"	"adapter-backed"	"setCR0"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00096"
"MVDM-T277-S2-MVDM-BOUNDARY-00081"	"30"	"MVDM-FILE-0123"	"dpmi32/dpmiint.c"	"dpmi32"	"526"	"adapter-backed"	"getEFLAGS"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00081"
"MVDM-T277-S2-MVDM-BOUNDARY-00082"	"30"	"MVDM-FILE-0123"	"dpmi32/dpmiint.c"	"dpmi32"	"529"	"adapter-backed"	"setEFLAGS"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00082"
"MVDM-T277-S2-MVDM-BOUNDARY-00083"	"30"	"MVDM-FILE-0123"	"dpmi32/dpmiint.c"	"dpmi32"	"608"	"adapter-backed"	"getEFLAGS"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00083"
"MVDM-T277-S2-MVDM-BOUNDARY-00084"	"30"	"MVDM-FILE-0123"	"dpmi32/dpmiint.c"	"dpmi32"	"611"	"adapter-backed"	"setEFLAGS"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00084"
"MVDM-T277-S2-MVDM-BOUNDARY-00085"	"30"	"MVDM-FILE-0123"	"dpmi32/dpmiint.c"	"dpmi32"	"631"	"adapter-backed"	"getEFLAGS"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00085"
"MVDM-T277-S2-MVDM-BOUNDARY-00086"	"30"	"MVDM-FILE-0123"	"dpmi32/dpmiint.c"	"dpmi32"	"640"	"adapter-backed"	"getEFLAGS"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00086"
"MVDM-T277-S2-MVDM-BOUNDARY-00088"	"30"	"MVDM-FILE-0123"	"dpmi32/dpmiint.c"	"dpmi32"	"692"	"adapter-backed"	"getEFLAGS"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00088"
"MVDM-T277-S2-MVDM-BOUNDARY-00087"	"30"	"MVDM-FILE-0123"	"dpmi32/dpmiint.c"	"dpmi32"	"692"	"adapter-backed"	"setEFLAGS"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00087"
"MVDM-T277-S2-MVDM-BOUNDARY-00089"	"30"	"MVDM-FILE-0123"	"dpmi32/dpmiint.c"	"dpmi32"	"722"	"adapter-backed"	"getEFLAGS"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00089"
"MVDM-T277-S2-MVDM-BOUNDARY-00090"	"30"	"MVDM-FILE-0123"	"dpmi32/dpmiint.c"	"dpmi32"	"801"	"adapter-backed"	"setEFLAGS"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00090"
"MVDM-T277-S2-MVDM-BOUNDARY-00091"	"30"	"MVDM-FILE-0123"	"dpmi32/dpmiint.c"	"dpmi32"	"895"	"adapter-backed"	"getEFLAGS"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00091"
"MVDM-T277-S2-MVDM-BOUNDARY-00092"	"30"	"MVDM-FILE-0123"	"dpmi32/dpmiint.c"	"dpmi32"	"898"	"adapter-backed"	"setEFLAGS"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00092"
"MVDM-T277-S2-MVDM-BOUNDARY-00093"	"30"	"MVDM-FILE-0123"	"dpmi32/dpmiint.c"	"dpmi32"	"901"	"adapter-backed"	"getEFLAGS"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00093"
"MVDM-T277-S2-MVDM-BOUNDARY-00101"	"30"	"MVDM-FILE-0127"	"dpmi32/dpmiselr.c"	"dpmi32"	"226"	"adapter-backed"	"malloc"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00101"
"MVDM-T277-S2-MVDM-BOUNDARY-00099"	"30"	"MVDM-FILE-0127"	"dpmi32/dpmiselr.c"	"dpmi32"	"64"	"adapter-backed"	"EnableEmulatorIretHooks"	"dpmi32/dpmidata.h"	"dpmi32"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00099"
"MVDM-T277-S2-MVDM-BOUNDARY-00100"	"30"	"MVDM-FILE-0127"	"dpmi32/dpmiselr.c"	"dpmi32"	"65"	"adapter-backed"	"DisableEmulatorIretHooks"	"dpmi32/dpmidata.h"	"dpmi32"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00100"
"MVDM-T277-S2-MVDM-BOUNDARY-00103"	"30"	"MVDM-FILE-0128"	"dpmi32/i386/dpmi386.c"	"dpmi32"	"188"	"adapter-backed"	"switch_to_real_mode"	"softpc.new/base/inc/bios.h"	"softpc.new"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00103"
"MVDM-T277-S2-MVDM-BOUNDARY-00102"	"30"	"MVDM-FILE-0128"	"dpmi32/i386/dpmi386.c"	"dpmi32"	"87"	"adapter-backed"	"malloc"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00102"
"MVDM-T277-S2-MVDM-BOUNDARY-00107"	"30"	"MVDM-FILE-0133"	"dpmi32/modesw.c"	"dpmi32"	"118"	"adapter-backed"	"setCPL"	"inc/softpc.h"	"inc"	"external-boundary-candidate"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00107"
"MVDM-T277-S2-MVDM-BOUNDARY-00106"	"30"	"MVDM-FILE-0133"	"dpmi32/modesw.c"	"dpmi32"	"72"	"adapter-backed"	"getSS_AR"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00106"
"MVDM-T277-S2-MVDM-BOUNDARY-00105"	"30"	"MVDM-FILE-0133"	"dpmi32/modesw.c"	"dpmi32"	"72"	"adapter-backed"	"getSS_BASE"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00105"
"MVDM-T277-S2-MVDM-BOUNDARY-00104"	"30"	"MVDM-FILE-0133"	"dpmi32/modesw.c"	"dpmi32"	"72"	"adapter-backed"	"setSS_BASE_LIMIT_AR"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00104"
"MVDM-T277-S2-MVDM-BOUNDARY-00108"	"30"	"MVDM-FILE-0141"	"dpmi32/xmem.c"	"dpmi32"	"97"	"adapter-backed"	"malloc"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00108"
"MVDM-T277-S2-MVDM-BOUNDARY-00006"	"40"	"MVDM-FILE-0018"	"dos/command/cmd.c"	"dos"	"23"	"adapter-backed"	"CMDInit"	"inc/cmdsvc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00006"
"MVDM-T277-S2-MVDM-BOUNDARY-00008"	"40"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"120"	"adapter-backed"	"TerminateVDM"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00008"
"MVDM-T277-S2-MVDM-BOUNDARY-00009"	"40"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"233"	"adapter-backed"	"TerminateVDM"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00009"
"MVDM-T277-S2-MVDM-BOUNDARY-00010"	"40"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"236"	"adapter-backed"	"malloc"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00010"
"MVDM-T277-S2-MVDM-BOUNDARY-00011"	"40"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"243"	"adapter-backed"	"malloc"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00011"
"MVDM-T277-S2-MVDM-BOUNDARY-00012"	"40"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"248"	"adapter-backed"	"TerminateVDM"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00012"
"MVDM-T277-S2-MVDM-BOUNDARY-00013"	"40"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"258"	"adapter-backed"	"TerminateVDM"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00013"
"MVDM-T277-S2-MVDM-BOUNDARY-00014"	"40"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"268"	"adapter-backed"	"TerminateVDM"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00014"
"MVDM-T277-S2-MVDM-BOUNDARY-00015"	"40"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"634"	"adapter-backed"	"TerminateVDM"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00015"
"MVDM-T277-S2-MVDM-BOUNDARY-00007"	"40"	"MVDM-FILE-0020"	"dos/command/cmdconf.c"	"dos"	"82"	"adapter-backed"	"TerminateVDM"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00007"
"MVDM-T277-S2-MVDM-BOUNDARY-00017"	"40"	"MVDM-FILE-0023"	"dos/command/cmdenv.c"	"dos"	"224"	"adapter-backed"	"malloc"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00017"
"MVDM-T277-S2-MVDM-BOUNDARY-00018"	"40"	"MVDM-FILE-0023"	"dos/command/cmdenv.c"	"dos"	"228"	"adapter-backed"	"TerminateVDM"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00018"
"MVDM-T277-S2-MVDM-BOUNDARY-00019"	"40"	"MVDM-FILE-0023"	"dos/command/cmdenv.c"	"dos"	"363"	"adapter-backed"	"malloc"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00019"
"MVDM-T277-S2-MVDM-BOUNDARY-00020"	"40"	"MVDM-FILE-0023"	"dos/command/cmdenv.c"	"dos"	"459"	"adapter-backed"	"malloc"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00020"
"MVDM-T277-S2-MVDM-BOUNDARY-00016"	"40"	"MVDM-FILE-0023"	"dos/command/cmdenv.c"	"dos"	"52"	"adapter-backed"	"malloc"	"softpc.new/base/inc/standard.h"	"softpc.new"	"external-boundary-candidate"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00016"
"MVDM-T277-S2-MVDM-BOUNDARY-00021"	"40"	"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"441"	"adapter-backed"	"nt_block_event_thread"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00021"
"MVDM-T277-S2-MVDM-BOUNDARY-00022"	"40"	"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"453"	"adapter-backed"	"nt_resume_event_thread"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00022"
"MVDM-T277-S2-MVDM-BOUNDARY-00023"	"40"	"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"454"	"adapter-backed"	"nt_std_handle_notification"	"dos/command/cmd.h"	"dos"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00023"
"MVDM-T277-S2-MVDM-BOUNDARY-00024"	"40"	"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"480"	"adapter-backed"	"nt_resume_event_thread"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00024"
"MVDM-T277-S2-MVDM-BOUNDARY-00025"	"40"	"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"481"	"adapter-backed"	"nt_std_handle_notification"	"dos/command/cmd.h"	"dos"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00025"
"MVDM-T277-S2-MVDM-BOUNDARY-00026"	"40"	"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"620"	"adapter-backed"	"nt_block_event_thread"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00026"
"MVDM-T277-S2-MVDM-BOUNDARY-00027"	"40"	"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"641"	"adapter-backed"	"nt_resume_event_thread"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00027"
"MVDM-T277-S2-MVDM-BOUNDARY-00028"	"40"	"MVDM-FILE-0024"	"dos/command/cmdexec.c"	"dos"	"642"	"adapter-backed"	"nt_std_handle_notification"	"dos/command/cmd.h"	"dos"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00028"
"MVDM-T277-S2-MVDM-BOUNDARY-00029"	"40"	"MVDM-FILE-0025"	"dos/command/cmdexit.c"	"dos"	"30"	"adapter-backed"	"TerminateVDM"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00029"
"MVDM-T277-S2-MVDM-BOUNDARY-00031"	"40"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"100"	"adapter-backed"	"nt_block_event_thread"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00031"
"MVDM-T277-S2-MVDM-BOUNDARY-00032"	"40"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"102"	"adapter-backed"	"nt_block_event_thread"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00032"
"MVDM-T277-S2-MVDM-BOUNDARY-00033"	"40"	"MVDM-FILE-0028"	"dos/command/cmdmisc.c"	"dos"	"126"	"adapter-backed"	"TerminateVDM"	"inc/softpc.h"	"inc"	"selected-definition-name-observed"	"pending-original-caller-and-provider-form-review"	"unassigned-pending-source-form-review"	"unreviewed"	"m0-t276-s5-unique-call-disposition-ledger.tsv:MVDM-BOUNDARY-00033"
