"reference_path"	"sha256"	"interface_id"	"disposition"	"successor"	"rationale"
"adapter-softpc/finite_run.cc"	"4a00b66a4f0d3883941c532684338ff9093e8d625e3dac456b388a794c1674f4"	"ADAPTER-IF-003"	"retire"	"adapter-bochs only"	"old machine shell is not a same-shaped SoftPC facade"
"adapter-softpc/first_fault_observation.cc"	"1e94ec6040e67f42ad7b31eaaf39f07c51227ec4a60f71b54c9e645741bdf3d0"	"ADAPTER-IF-006"	"retire"	"documentation-only"	"project observation has no original adapter caller"
"adapter-softpc/guest_gather_read_action.c"	"440b536ab5238377b416f8c012ec01021b014ef6f2202d26ce70622c00df0e30"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade, using session-owned mapping instances"
"adapter-softpc/guest_pointer_manager.c"	"82a980a68883c885dd0b487d95148dec91c2c9a50c6363d68b6c202849bafeee"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade, using session-owned mapping instances"
"adapter-softpc/guest_range.c"	"49111068981906150b48f45f8a096a89b7b2688df13392182d22fc97bf42d53e"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade, using session-owned mapping instances"
"adapter-softpc/guest_read_action.c"	"552ed962fe67517ca95313e103fe6858747ce3601af0be01d3af14dd5dcb3e85"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade, using session-owned mapping instances"
"adapter-softpc/guest_write_abi.c"	"566dac8a8a42610734ef4322f295165ea98b7452dac66e48635621fb67060e8a"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade, using session-owned mapping instances"
"adapter-softpc/host_handle_manager.c"	"7ca82c416e5ae97c02822350e8f66c405d2146a2c96c0486d02b4611f273b81d"	"ADAPTER-IF-002"	"retire"	"session or owner package"	"duplicate manager or narrow project helper, not original same-shaped facade"
"adapter-softpc/idle_shim.c"	"c00018bbe935d74340f2ea1b7564a26814e836438861e336d738c24bb1b07db0"	"ADAPTER-IF-002"	"retire"	"session or owner package"	"duplicate manager or narrow project helper, not original same-shaped facade"
"adapter-softpc/instruction_history.cc"	"59b6edf481741a3d981337b76f14619d78de5a57b41ffe5da38614922d265add"	"ADAPTER-IF-006"	"retire"	"documentation-only"	"project observation has no original adapter caller"
"adapter-softpc/instruction_window_abi.c"	"d11656e4c2a2d27bde4b1cf27f87b797c0e5b9df737f0a11f587e1503fe8199e"	"ADAPTER-IF-006"	"retire"	"documentation-only"	"project observation has no original adapter caller"
"adapter-softpc/interrupt_return_observation.cc"	"1dca953d520d17500c994e94a957bc41f674c3212dfe99a24c66234d52a4ffd4"	"ADAPTER-IF-006"	"retire"	"documentation-only"	"project observation has no original adapter caller"
"adapter-softpc/interrupt06_provider.c"	"cd717baab4dc3ed743dc41215121a4dac77f1c60eacb740bd8d4755d79e54218"	"ADAPTER-IF-005"	"defer"	"machine/VDD/debugger packages"	"device-specific semantics do not belong in generic facade"
"adapter-softpc/ivt_watch.cc"	"f3c35e190d7786277abc9c91fbf072a44459ea2ba48512e8ef652ca61ef9d736"	"ADAPTER-IF-006"	"retire"	"documentation-only"	"project observation has no original adapter caller"
"adapter-softpc/machine_composition.c"	"73fea6139ef3475cff006b664b33f19c6197f7e27fd499be40f946e8422ff74f"	"ADAPTER-IF-003"	"retire"	"adapter-bochs only"	"old machine shell is not a same-shaped SoftPC facade"
"adapter-softpc/machine_engine.c"	"902892a5fce905e306573aa288f041c4b3509a962cf0b2fbe1f31012eb7de50b"	"ADAPTER-IF-003"	"retire"	"adapter-bochs only"	"old machine shell is not a same-shaped SoftPC facade"
"adapter-softpc/machine_profile_abi.c"	"fa112df89008573b5f16a0b5294187376511fd6f9a7f6f822f6ecb829d008825"	"ADAPTER-IF-003"	"retire"	"adapter-bochs only"	"old machine shell is not a same-shaped SoftPC facade"
"adapter-softpc/machine_stage.cc"	"7fd4724e3aaea0d524b8650bb8cebdf0acc1238a81bd12928417a6f3cf077142"	"ADAPTER-IF-003"	"retire"	"adapter-bochs only"	"old machine shell is not a same-shaped SoftPC facade"
"adapter-softpc/mechanical_action.cc"	"d60d3860b9f75cbbaa13c52519a92f8d19871b743f314639606cc1843139345c"	"ADAPTER-IF-001"	"migrate"	"T275 S2"	"typed BOP result/completion mechanics belong with transport, not SoftPC facade"
"adapter-softpc/multi_write_abi.c"	"0a3a48c43d4b4181182d6bb62185bbd247abeb7854c38edaff9455c088d6a32d"	"ADAPTER-IF-001"	"migrate"	"T275 S2"	"typed BOP result/completion mechanics belong with transport, not SoftPC facade"
"adapter-softpc/multi_write_transaction.c"	"0f8bcb18ad2d537e468a18909fd2d5beafc43d856ca521747abe5836675ab96a"	"ADAPTER-IF-001"	"migrate"	"T275 S2"	"typed BOP result/completion mechanics belong with transport, not SoftPC facade"
"adapter-softpc/observation_transaction_abi.c"	"b6b9dd18948dd6bea32dc5616f732508d836273359a397f1f75a19bed93cb98f"	"ADAPTER-IF-006"	"retire"	"documentation-only"	"project observation has no original adapter caller"
"adapter-softpc/opennt_xms_softpc_facade.c"	"bf6245df4c3e4a4c284fc4038405769e1b8791e92d7bd582169e4849c2c1e089"	"ADAPTER-IF-004"	"defer"	"XMS owner package"	"XMS machine semantics remain source-owner-specific"
"adapter-softpc/ordinary_ram_reservation.cc"	"710922c06baebf500c06c887fb8d96426d4d811e4f4ccd79bacef6f3d1669774"	"ADAPTER-IF-004"	"defer"	"XMS owner package"	"XMS machine semantics remain source-owner-specific"
"adapter-softpc/pending_action.c"	"db92e739b4419487cb76f5c2411f099e677a6b2eb29a6daee6d24ff50d928443"	"ADAPTER-IF-001"	"migrate"	"T275 S2"	"typed BOP result/completion mechanics belong with transport, not SoftPC facade"
"adapter-softpc/physical_irq.cc"	"c298b3d0e90be45ef363652f1378a26f7321b769c35a7b84fff9482de1dd52b1"	"ADAPTER-IF-005"	"defer"	"machine/VDD/debugger packages"	"device-specific semantics do not belong in generic facade"
"adapter-softpc/physical_write_observation.cc"	"daec264e6524d5373c999177d1b4d2cde13becda37e396b2a16e358e0732b762"	"ADAPTER-IF-006"	"retire"	"documentation-only"	"project observation has no original adapter caller"
"adapter-softpc/port_action.cc"	"e696e1ade615434c5877edbb0a06782ebe39f025175f5f72f950976c76a8c6de"	"ADAPTER-IF-005"	"defer"	"machine/VDD/debugger packages"	"device-specific semantics do not belong in generic facade"
"adapter-softpc/protected_range_action.cc"	"1c35f2aeba679b8671f4ea1835d1647f0c4e52601ed6a9b76500428b0d8b3bff"	"ADAPTER-IF-002"	"retire"	"session or owner package"	"duplicate manager or narrow project helper, not original same-shaped facade"
"adapter-softpc/segment_access_observation.cc"	"18ad1999ed2ef608c611bee6dbc51d51ff745f03951bac7b2e0abdce50aeae35"	"ADAPTER-IF-006"	"retire"	"documentation-only"	"project observation has no original adapter caller"
"adapter-softpc/session_resource_abi.c"	"64b3ef619b5a48abc85d9bf856d360896cc2532a5cb97a3167c7c9fb721e3e31"	"ADAPTER-IF-002"	"split-recover"	"T275 S3"	"bounded register/SAS mapping facade, using session-owned mapping instances"
"adapter-softpc/softpc_emm_unavailable_shim.c"	"814c7a2b23ceef5645a8f7d5178cf4af07acad35ae35fb001bc3053b8c9933fd"	"ADAPTER-IF-004"	"defer"	"XMS owner package"	"XMS machine semantics remain source-owner-specific"
"adapter-softpc/softpc_memory_size_shim.c"	"86e150a5b2ab93b71aca4a249ff3d3cd4b83599675d9c68501ef05289b0037ad"	"ADAPTER-IF-004"	"defer"	"XMS owner package"	"XMS machine semantics remain source-owner-specific"
"adapter-softpc/softpc_mouse_vector_shim.c"	"ae64df324d11a8a8ffd0966019d1429ded68499bcd151b489dc3a63780ed8f62"	"ADAPTER-IF-005"	"defer"	"machine/VDD/debugger packages"	"device-specific semantics do not belong in generic facade"
"adapter-softpc/softpc_printer_openclose_shim.c"	"49a2c4e82053d01f7eaeb63c0accd4966f463cd53b32ce86be76d18be097085b"	"ADAPTER-IF-005"	"defer"	"machine/VDD/debugger packages"	"device-specific semantics do not belong in generic facade"
"adapter-softpc/softpc_tape_io_shim.c"	"8830f57e6fa4ce4d61c2eb0d75d159a3ffdefcb21ee073d0cda26f1e645c6886"	"ADAPTER-IF-005"	"defer"	"machine/VDD/debugger packages"	"device-specific semantics do not belong in generic facade"
"adapter-softpc/software_interrupt_observation.cc"	"301045e1faf7ba1af10366087cc7845f81400b20a668722db5445a87b6d25ec6"	"ADAPTER-IF-006"	"retire"	"documentation-only"	"project observation has no original adapter caller"
"adapter-softpc/spckbd_handoff_shim.c"	"4b5c627c5a6874a36559ebadc55baf4e465ceb251ea27ac1e7e7a2360fe348f9"	"ADAPTER-IF-005"	"defer"	"machine/VDD/debugger packages"	"device-specific semantics do not belong in generic facade"
"adapter-win32/facade/demfile_create_observation.c"	"27b6725d513a0e8d1595042a0b011fa80ac27de947410b70d6e0dcf14cc2b923"	"ADAPTER-IF-007"	"retire"	"documentation-only"	"project diagnostic is not an original Win32 facade"
"adapter-win32/facade/opennt_command_oem_facade.c"	"53d51ecc08ade215fd5985fe3ce45543ae1e7a30acd3403d55b9a5979ae08443"	"ADAPTER-IF-008"	"recover-if-reached"	"T275 S4"	"retain only named source-shaped public-Win32 facade"
"adapter-win32/facade/opennt_dem_file_oem_facade.c"	"c349bbcbfaaba2fbea771b0a1361df45f49b86c9fa4b5e8e3f60b80b671ad300"	"ADAPTER-IF-007"	"recover-if-reached"	"T275 S4"	"retain only named source-shaped public-Win32 facade"
"adapter-win32/facade/opennt_dem_gset_facade.c"	"4df7fd4586fbbd2312b86323ca9b10b3fe497fff46bd50685a35d228d3d4fb6e"	"ADAPTER-IF-007"	"recover-if-reached"	"T275 S4"	"retain only named source-shaped public-Win32 facade"
"adapter-win32/facade/opennt_dem_oem_facade.c"	"14fb300de5645d9e18d186885889c9e13643f5515e4fbd2eef67956df05a4cd2"	"ADAPTER-IF-007"	"recover-if-reached"	"T275 S4"	"retain only named source-shaped public-Win32 facade"
"adapter-win32/facade/opennt_dem_search_facade.c"	"8270d3dd3d91fec5c6901317e8468a78a0fb56d8abc7a6cda571f46049623033"	"ADAPTER-IF-007"	"recover-if-reached"	"T275 S4"	"retain only named source-shaped public-Win32 facade"
"adapter-win32/facade/opennt_error_dialog_facade.c"	"16d4561ec7fc67b4b32def1639c2d30cbfa1678cf23f721849ad590a83b60a70"	"ADAPTER-IF-009"	"recover-if-reached"	"T275 S4"	"retain only named source-shaped public-Win32 facade"
"adapter-win32/facade/opennt_pif_oem_facade.c"	"22a056f481b6da2b1fbc33bd4aba5e88ee7e9646a1e0fecf2c5ebe3450376e95"	"ADAPTER-IF-007"	"recover-if-reached"	"T275 S4"	"retain only named source-shaped public-Win32 facade"
"adapter-win32/facade/opennt_rtl_compat.c"	"01ba8697f4212c32e0d94174efb4eeccffc599eae37f3ba09f9c9b23b3e91190"	"ADAPTER-IF-008"	"recover-if-reached"	"T275 S4"	"retain only named source-shaped public-Win32 facade"
"adapter-win32/facade/opennt_vdm_api_facade.c"	"9d58f1151fe11aa248b6cb4e59796c18eb78a7cc120967b9baab1f1c257a9097"	"ADAPTER-IF-008"	"recover-if-reached"	"T275 S4"	"retain only named source-shaped public-Win32 facade"
